icao,delivery,ground,tower,departure,approach,center
KADW,ADW_DEL,ADW_GND,ADW_TWR,\N,PCT_APP,DC_CTR
KAEL,\N,\N,\N,\N,RST_APP,MSP_CTR
KAEX,\N,AEX_GND,AEX_TWR,\N,POE_APP,HOU_CTR
KAFF,\N,\N,\N,\N,\N,DEN_CTR
KAFJ,\N,\N,\N,\N,PIT_APP,\N
KAFN,\N,\N,\N,\N,\N,BOS_CTR
KAFO,\N,\N,\N,\N,SLC_APP,\N
KAFW,AFW_DEL,AFW_GND,AFW_TWR,\N,REG_APP,FTW_CTR
KAGC,\N,AGC_GND,AGC_TWR,\N,PIT_APP,\N
KAGO,\N,\N,\N,\N,LIT_APP,\N
KAGS,AGS_DEL,AGS_GND,AGS_TWR,\N,AGS_APP,ATL_CTR
KAHC,\N,\N,\N,\N,\N,OAK_CTR
KAHH,\N,\N,\N,\N,MSP_APP,\N
KAHN,\N,AHN_GND,AHN_TWR,\N,ATL_APP,ATL_CTR
KAIA,\N,\N,\N,\N,\N,DEN_CTR
KAID,\N,\N,\N,\N,\N,IND_CTR
KAIK,\N,\N,\N,\N,AGS_APP,\N
KAIO,\N,\N,\N,\N,\N,MSP_CTR
KAKO,\N,\N,\N,\N,\N,DEN_CTR
KAKR,\N,\N,\N,\N,CMH_APP,\N
KALB,ALB_DEL,ALB_GND,ALB_TWR,\N,ALB_APP,BOS_CTR
KALI,\N,\N,\N,\N,NQI_APP,\N
KALM,\N,\N,\N,HMN_DEP,HMN_APP,ABQ_CTR
KALN,\N,\N,ALN_TWR,\N,\N,\N
KALS,\N,\N,\N,\N,\N,DEN_CTR
KALW,\N,ALW_GND,ALW_TWR,\N,PSC_APP,SEA_CTR
KALX,\N,\N,\N,\N,MGM_APP,\N
KAMA,AMA_DEL,AMA_GND,AMA_TWR,\N,AMA_APP,ABQ_CTR
KAMW,\N,\N,\N,\N,DSM_APP,\N
KANB,\N,\N,\N,\N,BHM_APP,ATL_CTR
KAND,\N,\N,\N,\N,GSP_APP,\N
KANK,\N,\N,\N,\N,\N,DEN_CTR
KANP,\N,\N,\N,\N,PCT_APP,DC_CTR
KANQ,\N,\N,\N,\N,FWA_APP,\N
